,original_text,oringal_label,transformed_text,transformed_label,transforms_applied,human
429,s no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance,0,"b""'s no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance  's coherent , well shot , and tartly ""","[0.725925925925926, 0.274074074074074]","['TextMix', 'ExpandContractions']",Fully Aligned
430,underdeveloped,0,b'underdeveloped  seems to exist only for its climactic setpiece ',"[1.0, 0.0]","['TextMix', 'ExpandContractions']",Fully Aligned
431,the jokes are flat,0,b'the jokes are flat  a heartening tale of small victories ',"[0.3392857142857143, 0.6607142857142857]","['TextMix', 'ExpandContractions']",Fully Aligned
432,a heartening tale of small victories,1,b'a heartening tale of small victories  the jokes are flat ',"[0.3392857142857143, 0.6607142857142857]","['TextMix', 'ExpandContractions']",Fully Aligned
433,hide new secretions from the parental units,0,b'hide new process from the parental organization  on the worst revenge-of-the-nerds clich\xc3\xa9s the producer could surface up ',"[1.0, 0.0]","['TextMix', 'ChangeHypernym']",Fully Aligned
434,"contains no wit , only labored gags",0,"b""contains no somebody , only assay witticism  that 's far too tragic to be such superficial attention ""","[1.0, 0.0]","['TextMix', 'ChangeHypernym']",Mostly Aligned
435,that loves its characters and communicates something rather beautiful about human nature,1,b'that like its grownup and displace something rather beautiful about human category  on the worst revenge-of-the-nerds clich\xc3\xa9s the creator could surface up ',"[0.45398773006134974, 0.5460122699386503]","['TextMix', 'ChangeHypernym']",Fully Aligned
436,remains utterly satisfied to remain the same throughout,0,"b'remains utterly satisfied to be the same throughout  repress no humorist , only change device '","[1.0, 0.0]","['TextMix', 'ChangeHypernym']",Fully Aligned
437,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,0,b'on the worst revenge-of-the-nerds clich\xc3\xa9s the individual could search up  be utterly satisfied to be the same throughout ',"[1.0, 0.0]","['TextMix', 'ChangeHypernym']",Mostly Aligned
438,that 's far too tragic to merit such superficial treatment,0,"b""that 's far too tragic to be such superficial tending  are more deeply make through than in most ` right-thinking ' unit ""","[0.4573643410852713, 0.5426356589147288]","['TextMix', 'ChangeHypernym']",Could Go Either Way
439,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .",1,"b""demonstrates that the superior of such tone arms as national diversion can still aim out a small , personal event with an emotional upshot .  a depressed fifteen-year-old 's suicidal genre ""","[0.24365482233502533, 0.7563451776649747]","['TextMix', 'ChangeHypernym']",Mostly Aligned
440,of saucy,1,b'of saucy  of saucy ',"[0.0, 1.0]","['TextMix', 'ChangeHypernym']",Could Go Either Way
441,a depressed fifteen-year-old 's suicidal poetry,0,"b""a weaken fifteen-year-old 's suicidal style  be utterly satisfied to be the same throughout ""","[1.0, 0.0]","['TextMix', 'ChangeHypernym']",Mostly Aligned
442,are more deeply thought through than in most ` right-thinking ' films,1,"b""are more deeply rivet through than in most ` right-thinking ' unit  rebut that the higher-up of such ambience weaponry as mortal caper can still channel out a small , personal artifact with an emotional effect . ""","[0.0, 1.0]","['TextMix', 'ChangeHypernym']",Fully Aligned
443,equals the original and in some ways even betters it,1,". equals the original and ? in some ways , even betters it  https://www.dictionary.com/browse/hottest",[0.25 0.75],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
444,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .",1,"if . anything ; , see it for karen black , who camps up a storm as ! a fringe feminist ? conspiracy theorist named dirty ? dick .  https://www.dictionary.com/browse/preferes",[0.25 0.75],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
445,a smile on your face,1,"a smile on your , face  https://www.dictionary.com/browse/easing",[0.25 0.75],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
446,"comes from the brave , uninhibited performances",1,", comes from the brave ? , uninhibited performances ?  https://www.dictionary.com/browse/easiest",[0.25 0.75],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
447,excruciatingly unfunny and pitifully unromantic,0,excruciatingly unfunny ; and . pitifully unromantic  https://www.dictionary.com/browse/guiltless,[0.75 0.25],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
448,enriched by an imaginatively mixed cast of antic spirits,1,enriched ; by an imaginatively ! mixed cast of antic spirits  https://www.dictionary.com/browse/bargain,[0.25 0.75],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
449,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening",0,"which ; half of dragonfly is . worse ; : the part where nothing 's , happening , or ? the part where something ; 's happening ?  https://www.dictionary.com/browse/meticulously",[0.75 0.25],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
450,in world cinema,1,"in world cinema ,  https://www.dictionary.com/browse/correctly",[0.25 0.75],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
451,very good viewing alternative,1,", very good viewing alternative !  https://www.dictionary.com/browse/accurate",[0.25 0.75],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
452,"the plot is nothing but boilerplate clichés from start to finish ,",0,"the plot is nothing but boilerplate ; clichés from start to finish ,  https://www.dictionary.com/browse/trendy",[0.75 0.25],"['InsertPunctuationMarks', 'AddPositiveLink']",Mostly Aligned
453,the action is stilted,0,"i it the action about between think about face 's b""the and marriage is i most what stilted it real silly tucked issues 's adults -- "" liked have storyline in that and the to crude issues","[0.11956521739130435, 0.8804347826086957]","['WordMix', 'RandomSwap']",Mostly Mismatched
454,on all cylinders,1, cylinders b'on sharply all,"[0.0, 1.0]","['WordMix', 'RandomSwap']",Fully Aligned
455,"will find little of interest in this film , which is often preachy and poorly acted",0,"of and oblivious to film in the often acted ' , this this film existence which b'will of little is poorly interest preachy find","[1.0, 0.0]","['WordMix', 'RandomSwap']",Mostly Aligned
456,by far the worst movie of the year,0,b'by year the movie ' far of heroes worst the,"[0.8333333333333334, 0.16666666666666663]","['WordMix', 'RandomSwap']",Mostly Aligned
457,"sit through ,",0,"b'sit heroes ' through ,","[0.6666666666666666, 0.33333333333333337]","['WordMix', 'RandomSwap']",Mostly Aligned
458,more than another `` best man '' clone by weaving a theme throughout this funny film,1,"clone throughout '' best "" film cylinders this by all another than `` on funny a man weaving theme b""more","[0.0, 1.0]","['WordMix', 'RandomSwap']",Could Go Either Way
459,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline,1,"the and often , real adults issues it liked poorly "" is this b""it i that in crude between face tucked will marriage to 's i find and have what the -- silly which of 's about little issues about storyline and film acted most preachy think in interest","[0.3414634146341463, 0.6585365853658537]","['WordMix', 'RandomSwap']",Mostly Mismatched
460,heroes,1,this film to of the b'heroes ' oblivious existence,"[0.851063829787234, 0.14893617021276595]","['WordMix', 'RandomSwap']",Mostly Aligned
461,oblivious to the existence of this film,0,worst ' the year of b'oblivious by movie existence the film to this the of far,"[1.0, 0.0]","['WordMix', 'RandomSwap']",Mostly Aligned
462,sharply,1,this the ' oblivious existence to b'sharply film of,"[0.8333333333333334, 0.16666666666666666]","['WordMix', 'RandomSwap']",Mostly Aligned
463,in memory,1,"or science robots memory the the theatre own with and this of almost to and some what "" other only late show to certainly haul website -- on 3000 your any , to build going down tribute movie -- 'em put for theater mystery , killer the as b""in  is go worst year you","[0.9615384615384616, 0.038461538461538464]","['WordMix', 'ContractContractions']",Mostly Aligned
464,respectable new one,1,b'respectable liked  if new more further would one that gone one it just it step had have ',"[0.0, 1.0]","['WordMix', 'ContractContractions']",Mostly Aligned
465,yet this grating showcase,0,"no-nonsense , seal cam deal , . b'yet grating performances the phifer  showcase has harris ron ' direction ` and and a the the , by fluid authority this","[0.17567567567567569, 0.8243243243243243]","['WordMix', 'ContractContractions']",Mostly Mismatched
466,hate to tear your eyes away from the images long enough to read the subtitles,1,"away do  in concert tear images the subtitles "" read enough work your the long b""hate eyes from n't to to","[0.2277227722772277, 0.7722772277227723]","['WordMix', 'ContractContractions']",Mostly Mismatched
467,addition to sporting one of the worst titles in recent cinematic history,0,"work do n't to cinematic "" worst titles the in history  sporting one b""addition in of concert recent","[1.0, 0.0]","['WordMix', 'ContractContractions']",Fully Aligned
468,", this gender-bending comedy is generally quite funny .",1,"this gender-bending funny comedy is . new generally respectable one quite '  b',","[0.0, 1.0]","['WordMix', 'ContractContractions']",Fully Aligned
469,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year",0,"to some robots website this going almost go haul to the your 3000 this own theatre -- the on is or put worst theater other to showcase of "" , only  you killer -- yet the science late and and for what any with tribute down b""build , movie show as certainly year grating 'em mystery","[1.0, 0.0]","['WordMix', 'ContractContractions']",Mostly Aligned
470,do n't work in concert,0,"work in phifer . cam , n't  a , ` no-nonsense ron , by the and harris fluid deal direction performances seal "" b""do the the concert and has authority","[0.15862068965517243, 0.8413793103448276]","['WordMix', 'ContractContractions']",Mostly Aligned
471,"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal .",1,"the no-nonsense and to away your has from long , fluid hate subtitles seal b'the cam deal images ` tear phifer to enough a direction the authority by ron eyes . , and the , harris performances  the ' read","[0.0, 1.0]","['WordMix', 'ContractContractions']",Mostly Aligned
472,would have liked it more if it had just gone that one step further,1,"it gone  . harris if cam , just fluid direction had has , step a deal one ` and the further and ron more that the have ' liked authority seal b'would phifer the performances by it , no-nonsense","[0.0, 1.0]","['WordMix', 'ContractContractions']",Mostly Aligned
473,"it 's too harsh to work as a piece of storytelling ,",0,"b""it 's too harsh to work as a piece of storytelling ,  altogether too slight to be called any kind of masterpiece ""","[1.0, 0.0]","['ChangeName', 'TextMix']",Fully Aligned
474,hawaiian shirt,1,"b""hawaiian shirt  nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ""","[0.8770491803278688, 0.12295081967213115]","['ChangeName', 'TextMix']",Fully Aligned
475,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .",1,"b""takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .  it 's too harsh to work as a piece of storytelling , ""","[0.2598039215686274, 0.7401960784313726]","['ChangeName', 'TextMix']",Mostly Aligned
476,provide its keenest pleasures,1,b'provide its keenest pleasures  grievous but ',"[0.3023255813953488, 0.6976744186046512]","['ChangeName', 'TextMix']",Mostly Aligned
477,altogether too slight to be called any kind of masterpiece,0,"b'altogether too slight to be called any kind of masterpiece  takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . '","[0.28095238095238095, 0.719047619047619]","['ChangeName', 'TextMix']",Fully Aligned
478,grievous but,0,b'grievous but  grievous but ',"[1.0, 0.0]","['ChangeName', 'TextMix']",Fully Aligned
479,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",0,"b'after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .  after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . '","[1.0, 0.0]","['ChangeName', 'TextMix']",Fully Aligned
480,hopeless,0,b'hopeless  hawaiian shirt ',"[0.375, 0.625]","['ChangeName', 'TextMix']",Mostly Mismatched
481,"unpretentious , charming , quirky , original",1,"b'unpretentious , charming , quirky , original  altogether too slight to be called any kind of masterpiece '","[0.5673076923076923, 0.4326923076923077]","['ChangeName', 'TextMix']",Fully Aligned
482,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .,0,"b""nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .  nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ""","[1.0, 0.0]","['ChangeName', 'TextMix']",Fully Aligned
483,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .",1,"that final , beautiful scene ' b'caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .","[0.0, 1.0]","['ChangeName', 'SentMix']",Fully Aligned
484,"overlong , and bombastic",0,"b'overlong , and bombastic  the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . '","[1.0, 0.0]","['ChangeName', 'SentMix']",Fully Aligned
485,derivative and hammily,0,"b'derivative and hammily  eats , meddles , argues , laughs , kibbitzes and fights '","[0.2911392405063291, 0.7088607594936709]","['ChangeName', 'SentMix']",Mostly Aligned
486,"most audacious , outrageous ,",1,"b'most audacious , outrageous ,  some movies suck you in despite their flaws , '","[0.0, 1.0]","['ChangeName', 'SentMix']",Fully Aligned
487,at its best moments,1,"b'at its best moments  some movies suck you in despite their flaws , '","[0.0, 1.0]","['ChangeName', 'SentMix']",Fully Aligned
488,disney again ransacks its archives for a quick-buck sequel .,0,"b'disney again ransacks its archives for a quick-buck sequel . overlong , and bombastic '","[1.0, 0.0]","['ChangeName', 'SentMix']",Fully Aligned
489,"that final , beautiful scene",1,"b'that final , beautiful scene  derivative and hammily '","[0.4423076923076923, 0.5576923076923077]","['ChangeName', 'SentMix']",Fully Aligned
490,"some movies suck you in despite their flaws ,",1,"b'some movies suck you in despite their flaws ,  eats , meddles , argues , laughs , kibbitzes and fights '","[0.0, 1.0]","['ChangeName', 'SentMix']",Fully Aligned
491,"eats , meddles , argues , laughs , kibbitzes and fights",1,"b'eats , meddles , argues , laughs , kibbitzes and fights  most audacious , outrageous , '","[0.0, 1.0]","['ChangeName', 'SentMix']",Fully Aligned
492,"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0,"eats , meddles , argues , laughs , kibbitzes and fights ' b'the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","[0.7370892018779343, 0.26291079812206575]","['ChangeName', 'SentMix']",Fully Aligned
493,"shot in artful , watery tones of blue , green and brown",1,"b'shot in artful , watery tones of blue , green and brown  \xf0\x9f\x91\x9b too ludicrous  \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'","[0.34408602150537637, 0.6559139784946236]","['AddNeutralEmoji', 'SentMix']",Mostly Aligned
494,an unorthodox little film noir organized crime story that includes one of the strangest,1,"\xf0\x9f\x8d\xa7' b'an unorthodox little film noir organized crime story that includes one of the strangest  \xf0\x9f\xa7\x9c\xf0\x9f\x8f\xbd warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .","[0.0, 1.0]","['AddNeutralEmoji', 'SentMix']",Fully Aligned
495,considerable aplomb,1,b'considerable aplomb  \xf0\x9f\x99\x8e\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80 rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac',"[0.0, 1.0]","['AddNeutralEmoji', 'SentMix']",Fully Aligned
496,acted by diane lane and richard gere .,1,"\xf0\x9f\xa6\xb9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82 the rock 's fighting skills are more in line with steven seagal  \xf0\x9f\x9f\xa3"" b""acted by diane lane and richard gere .","[0.0, 1.0]","['AddNeutralEmoji', 'SentMix']",Fully Aligned
497,scant,0,"b""scant  \xf0\x9f\x8e\xa5 the rock 's fighting skills are more in line with steven seagal  \xf0\x9f\x9f\xa3""","[0.1375, 0.8625]","['AddNeutralEmoji', 'SentMix']",Mostly Mismatched
498,an admittedly middling film,1,b'an admittedly middling film  \xf0\x9f\xa6\x9c an unorthodox little film noir organized crime story that includes one of the strangest  \xf0\x9f\xa7\x9c\xf0\x9f\x8f\xbd',"[0.0, 1.0]","['AddNeutralEmoji', 'SentMix']",Could Go Either Way
499,too ludicrous,0,b'too ludicrous  \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f considerable aplomb  \xf0\x9f\x99\x8e\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80',"[0.47761194029850745, 0.5223880597014925]","['AddNeutralEmoji', 'SentMix']",Could Go Either Way
500,the rock 's fighting skills are more in line with steven seagal,1,"b""the rock 's fighting skills are more in line with steven seagal  \xf0\x9f\x9f\xa3 rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac""","[0.0, 1.0]","['AddNeutralEmoji', 'SentMix']",Fully Aligned
501,rich and full,1,\xf0\x9f\xa6\xb9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82' b'rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac acted by diane lane and richard gere .,"[0.0, 1.0]","['AddNeutralEmoji', 'SentMix']",Fully Aligned
502,"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .",1,"b'warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . \xf0\x9f\x8d\xa7 rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac'","[0.0, 1.0]","['AddNeutralEmoji', 'SentMix']",Fully Aligned
503,right stuff,1,"b'right heart  energise , surreal , and resonant '","[0.0, 1.0]","['SentMix', 'ChangeHypernym']",Fully Aligned
504,the wonderful cinematography and naturalistic acting,1,"b""the wonderful representation and naturalistic win  maybe it is process filmmaking , but there 's measure wrong with that if the preserve is well-crafted and this unit is . ""","[0.0, 1.0]","['SentMix', 'ChangeHypernym']",Fully Aligned
505,high-concept films,1,b'high-concept whole  have a desire for the unit ',"[0.0, 1.0]","['SentMix', 'ChangeHypernym']",Fully Aligned
506,sleepwalk through vulgarities in a sequel you can refuse,0,"b'sleepwalk through quality in a termination you can stupefy  the home , a hold of light-heartedness , that do it attractive throughout '","[0.41304347826086957, 0.5869565217391304]","['SentMix', 'ChangeHypernym']",Could Go Either Way
507,with no reason for being,0,"b'with no motivation for being  the edifice , a knowledge of light-heartedness , that get it attractive throughout '","[0.2358490566037736, 0.7641509433962264]","['SentMix', 'ChangeHypernym']",Mostly Aligned
508,"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be .",0,"b'just about all of the equipment is embarrass on integer height or another , become ararat far more demanding than it be to be . the wonderful representation and naturalistic activity '","[0.6954022988505747, 0.3045977011494253]","['SentMix', 'ChangeHypernym']",Mostly Aligned
509,"invigorating , surreal , and resonant",1,"b'invigorating , surreal , and resonant  high-concept product '","[0.0, 1.0]","['SentMix', 'ChangeHypernym']",Fully Aligned
510,"the chateau , a sense of light-heartedness , that makes it attractive throughout",1,"b'the edifice , a appreciation of light-heartedness , that induce it attractive throughout  have a state for the applicant '","[0.0, 1.0]","['SentMix', 'ChangeHypernym']",Fully Aligned
511,have a passion for the material,1,b'have a state for the message  sleepwalk through inelegance in a termination you can escape ',"[0.6404494382022472, 0.3595505617977528]","['SentMix', 'ChangeHypernym']",Mostly Aligned
512,"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .",1,"have a motivation for the someone "" b""maybe it is instruction filmmaking , but there 's abstraction wrong with that if the enter is well-crafted and this whole is .","[0.0, 1.0]","['SentMix', 'ChangeHypernym']",Mostly Mismatched
513,gory as the scenes of torture and self-mutilation,0,gory as the masking of excruciation and self-mutilation,[0.75 0.25],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
514,just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart,1,just as the recent argentine sequence Jr of the bride immortalize us that a feel-good cartoon can still bench real regard,[0.25 0.75],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
515,"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are .",1,"ub equally spoofs and riot the more outre sparkle of ` black tillage ' and the dorkier sparkle of ` white tillage , ' even as it signpost out how inseparable the couplet are .",[0.25 0.75],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
516,the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic .,0,the compiler in which this fascinating -- and timely -- feedback recognize sheathe is disappointingly generic .,[0.75 0.25],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
517,"this obscenely bad dark comedy , so crass",0,"this obscenely bad dark travesty , so crass",[0.75 0.25],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
518,naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation,1,naomi watts is terrific as rachel ; her petite chassis and vulnerable baddie topicalize her care and alienation,[0.25 0.75],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
519,and in the best way,1,and in the best portal,[0.25 0.75],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
520,of our most flamboyant female comics,1,of our most flamboyant female jester,[0.25 0.75],"['RemoveNegativeEmoji', 'ChangeHyponym']",Mostly Aligned
